ID,vehicles,persons,trips,CTFIP,ZONE_ID,,
344,1,1,4,17031,1,,
345,1,1,3,17031,1,,
346,3,3,6,17197,8,,
347,1,2,4,17031,1,,
348,2,2,17,17031,1,,
349,2,3,21.5,17097,6,,
350,2,3,6,17043,2,,
351,2,2,4.5,17031,1,,
352,3,2,5,17031,1,,
353,3,2,14,17063,3,,
354,2,5,16,17089,4,,
355,2,2,10,17031,1,,
356,1,1,2,17043,2,,
357,2,2,10,17043,2,,
358,1,1,4.5,17043,2,,
359,3,3,13,17031,1,,
360,2,1,3,17089,4,,
361,2,4,28,17097,6,,
362,3,4,4,17031,1,,
363,1,1,3,17031,1,,
364,3,3,12,17031,1,,
365,4,4,20,17111,7,,
366,3,3,12,17111,7,,
367,1,1,4,17031,1,,
368,1,3,12,17031,1,,
369,2,2,18,17031,1,,
370,1,2,4,17031,1,,
371,3,2,13,17097,6,,
372,1,1,2,17111,7,,
373,1,1,0,17043,2,,
374,2,5,24,17031,1,,
375,1,1,0,17031,1,,
376,2,2,11,17031,1,,
377,2,2,4,17031,1,,
378,2,3,9,17031,1,,
379,1,1,3.5,17043,2,,
380,1,1,5,17089,4,,
381,2,3,7,17031,1,,
382,2,3,11,17043,2,,
383,3,3,16,17043,2,,
384,2,4,11.5,17031,1,,
385,1,1,3,17031,1,,
386,2,2,12,17031,1,,
387,1,1,1,17031,1,,
388,3,3,13,17031,1,,
389,3,2,4,17043,2,,
390,1,1,8,17043,2,,
391,2,1,4.5,17031,1,,
392,2,2,7.5,17031,1,,
393,2,2,4.5,17197,8,,
394,1,1,0,17031,1,,
395,2,4,10,17197,8,,
396,2,5,27.5,17031,1,,
397,1,2,6,17111,7,,
398,2,5,13,17031,1,,
399,2,1,7,17031,1,,
400,1,1,0,17031,1,,
401,1,1,2,17031,1,,
402,2,5,38,17089,4,,
403,3,3,12.5,17111,7,,
404,2,4,6,17097,6,,
405,1,2,0,17031,1,,
406,1,2,14,17093,5,,
407,2,2,6,17043,2,,
408,1,2,3,17031,1,,
409,1,2,9,17031,1,,
410,2,4,18,17089,4,,
411,2,1,3,17031,1,,
412,3,2,10,17097,6,,
413,2,2,11.5,17031,1,,
414,1,1,1.5,17031,1,,
415,2,5,14,17197,8,,
416,2,2,5,17043,2,,
417,1,2,6,17031,1,,
418,4,4,23.5,17043,2,,
419,0,1,2,17043,2,,
420,4,4,20,17097,6,,
421,1,1,4,17197,8,,
422,2,3,7,17031,1,,
423,1,2,16,17063,3,,
424,1,1,3,17031,1,,
425,1,1,2,17031,1,,
426,2,2,6,17089,4,,
427,3,3,18.5,17197,8,,
428,1,1,2,17097,6,,
429,2,2,12.5,17089,4,,
430,1,3,12,17031,1,,
431,3,4,10,17031,1,,
432,2,2,5,17197,8,,
433,0,1,3,17031,1,,
434,2,2,3,17043,2,,
435,2,3,9,17031,1,,
436,0,1,5,17031,1,,
437,2,3,14,17031,1,,
438,1,1,2,17031,1,,
439,2,4,16,17043,2,,
440,2,4,10,17031,1,,
441,1,1,8.5,17031,1,,
442,3,4,20.5,17031,1,,
443,1,1,3.5,17031,1,,
444,2,2,11,17031,1,,
445,1,2,7,17031,1,,
446,1,1,4,17031,1,,
447,0,1,0,17031,1,,
448,1,1,3,17031,1,,
449,3,2,9,17097,6,,
450,0,1,0,17089,4,,
451,2,2,10,17197,8,,
452,2,5,6.5,17043,2,,
453,5,2,14,17097,6,,
454,3,3,4,17089,4,,
455,1,2,2,17043,2,,
456,2,3,11,17031,1,,
457,2,3,22.5,17097,6,,
458,2,2,7.5,17197,8,,
459,1,1,2.5,17031,1,,
460,1,2,18.5,17031,1,,
461,2,2,4,17031,1,,
462,1,1,5.5,17031,1,,
463,2,4,22.5,17043,2,,
464,1,1,7,17089,4,,
465,4,2,12,17097,6,,
466,1,1,0,17111,7,,
467,1,2,4.5,17031,1,,
468,3,4,15,17031,1,,
469,1,1,3,17031,1,,
470,2,4,18,17031,1,,
471,1,1,4,17043,2,,
472,1,2,3.5,17031,1,,
473,1,1,1,17031,1,,
474,2,2,2,17097,6,,
475,1,2,11,17031,1,,
476,2,3,22,17031,1,,
477,2,4,14,17089,4,,
478,2,4,7,17097,6,,
479,2,3,14,17031,1,,
480,2,2,5,17031,1,,
481,3,3,9.5,17043,2,,
482,0,1,0,17031,1,,
483,3,2,5,17043,2,,
484,1,1,2,17031,1,,
485,2,2,6,17031,1,,
486,1,1,11,17031,1,,
487,2,4,11,17031,1,,
488,3,5,27,17031,1,,
489,3,4,23,17031,1,,
490,1,2,0,17043,2,,
491,1,1,8,17031,1,,
492,3,5,9,17197,8,,
493,1,2,8,17031,1,,
494,2,4,17,17031,1,,
495,2,4,16,17197,8,,
496,2,2,2,17089,4,,
497,2,2,4,17097,6,,
498,2,4,10.5,17031,1,,
499,2,2,10,17031,1,,
500,1,1,4,17043,2,,
501,2,2,11,17111,7,,
502,3,2,11,17089,4,,
503,2,2,3.5,17197,8,,
504,0,1,4,17043,2,,
505,2,5,35.5,17197,8,,
506,1,1,2,17031,1,,
507,0,1,4,17031,1,,
508,1,1,10,17031,1,,
509,0,2,0,17031,1,,
510,2,4,20,17043,2,,
511,1,2,2.5,17031,1,,
512,2,2,14,17097,6,,
513,2,3,13,17031,1,,
514,3,2,3,17031,1,,
515,3,5,25.5,17097,6,,
516,2,2,3,17043,2,,
517,3,3,12.5,17031,1,,
518,3,3,13,17031,1,,
519,2,3,7,17031,1,,
520,1,4,12,17031,1,,
521,1,3,12,17031,1,,
522,2,2,4,17031,1,,
523,1,1,2,17043,2,,
524,3,4,46,17031,1,,
525,1,1,4,17043,2,,
526,2,2,5,17097,6,,
527,1,1,3,17043,2,,
528,1,2,6,17089,4,,
529,3,2,10,17197,8,,
530,3,4,2,17093,5,,
531,1,1,4,17031,1,,
532,2,2,0,17089,4,,
533,1,2,9,17031,1,,
534,4,3,18.5,17089,4,,
535,2,2,9,17097,6,,
536,1,1,1.5,17031,1,,
537,1,1,2.5,17197,8,,
538,1,2,6,17031,1,,
539,3,4,18,17031,1,,
540,2,2,9,17097,6,,
541,0,2,7.5,17031,1,,
542,2,2,10,17197,8,,
543,1,1,2,17031,1,,
544,2,2,6.5,17043,2,,
545,2,2,2,17031,1,,
546,2,2,12.5,17043,2,,
547,2,1,6.5,17031,1,,
548,1,1,6,17031,1,,
549,2,6,33,17097,6,,
550,3,3,7.5,17197,8,,
551,1,1,6,17031,1,,
552,2,4,27,17093,5,,
553,1,1,2,17031,1,,
554,3,2,5,17043,2,,
555,4,2,9.5,17089,4,,
556,1,2,7.5,17097,6,,
557,2,2,2,17111,7,,
558,2,2,2.5,17031,1,,
559,2,2,9,17043,2,,
560,2,2,4,17111,7,,
561,1,2,4.5,17031,1,,
562,2,3,10,17031,1,,
563,2,3,5.5,17031,1,,
564,2,2,6,17089,4,,
565,0,1,5,17031,1,,
566,2,2,8,17043,2,,
567,1,1,3,17043,2,,
568,4,2,11,17097,6,,
569,2,2,6.5,17043,2,,
570,2,2,6,17089,4,,
571,2,2,10,17043,2,,
572,1,2,2,17031,1,,
573,4,4,21,17043,2,,
574,1,1,7,17043,2,,
575,1,2,4,17063,3,,
576,2,2,8,17089,4,,
577,2,2,5,17197,8,,
578,2,4,25,17031,1,,
579,2,6,32,17031,1,,
580,2,3,10.5,17093,5,,
581,1,1,4,17031,1,,
582,3,2,2,17197,8,,
583,5,4,21,17197,8,,
584,2,2,4,17197,8,,
585,3,3,6.5,17097,6,,
586,1,2,14,17031,1,,
587,4,3,10,17197,8,,
588,2,2,15,17031,1,,
589,2,4,18,17031,1,,
590,2,4,17,17031,1,,
591,1,1,2,17097,6,,
592,2,3,20,17043,2,,
593,3,3,17,17089,4,,
594,4,5,11,17031,1,,
595,1,1,4.5,17043,2,,
596,1,1,3,17031,1,,
597,2,3,10,17031,1,,
598,2,5,10.5,17031,1,,
599,1,1,2.5,17111,7,,
600,2,4,24.5,17097,6,,
601,1,1,5,17031,1,,
602,2,2,8,17031,1,,
603,2,2,10,17031,1,,
604,2,3,15,17031,1,,
605,3,5,13,17089,4,,
606,3,2,5,17093,5,,
607,2,2,5.5,17197,8,,
608,2,3,23,17031,1,,
609,1,1,4,17031,1,,
610,1,1,3,17197,8,,
611,1,3,12.5,17031,1,,
612,4,3,8.5,17089,4,,
613,2,1,5,17031,1,,
614,2,3,9,17031,1,,
615,1,1,0,17031,1,,
616,0,1,2,17031,1,,
617,2,6,18,17031,1,,
618,1,2,7,17031,1,,
619,0,1,2,17031,1,,
620,1,1,5,17031,1,,
621,2,2,9.5,17031,1,,
622,2,2,8.5,17097,6,,
623,2,3,10,17097,6,,
624,2,3,11.5,17031,1,,
625,2,1,4,17111,7,,
626,3,4,13,17043,2,,
627,4,2,6,17089,4,,
628,2,3,8,17031,1,,
629,2,2,2,17111,7,,
630,2,2,11,17043,2,,
631,1,1,4,17031,1,,
632,1,1,4,17031,1,,
633,2,2,10,17043,2,,
634,1,3,5.5,17031,1,,
635,2,2,11,17097,6,,
636,0,1,4.5,17031,1,,
637,2,2,2,17031,1,,
638,2,2,0,17097,6,,
639,3,4,11,17031,1,,
640,2,5,16,17089,4,,
641,1,1,1.5,17097,6,,
642,1,1,4.5,17031,1,,
643,2,2,9.5,17031,1,,
644,2,4,11,17031,1,,
645,2,6,19,17031,1,,
646,1,1,6,17097,6,,
647,2,2,12,17089,4,,
648,1,1,6,17031,1,,
649,2,2,8,17043,2,,
650,2,2,4,17031,1,,
651,1,2,14,17197,8,,
652,3,3,19,17089,4,,
653,0,1,0,17031,1,,
654,2,2,4,17031,1,,
655,1,2,4,17031,1,,
656,2,4,8,17093,5,,
657,2,2,4.5,17043,2,,
658,2,5,11,17043,2,,
659,3,5,14,17111,7,,
660,1,2,10,17031,1,,
661,5,3,14,17043,2,,
662,0,1,6,17097,6,,
663,1,2,9,17043,2,,
664,1,1,4,17089,4,,
665,1,2,0,17031,1,,
666,1,1,11,17031,1,,
667,1,1,2,17031,1,,
668,5,3,8,17031,1,,
669,2,5,18.5,17111,7,,
670,0,1,7,17031,1,,
671,3,4,10.5,17089,4,,
672,1,2,9,17031,1,,
673,1,1,3.5,17097,6,,
674,2,4,36,17031,1,,
675,2,4,16,17097,6,,
676,3,2,5.5,17097,6,,
677,1,3,10.5,17031,1,,
678,1,1,2,17043,2,,
679,2,2,4,17031,1,,
680,3,3,7,17097,6,,
681,2,3,5,17197,8,,
682,1,2,9,17031,1,,
683,0,1,0,17031,1,,
684,2,4,16,17031,1,,
685,2,2,12,17089,4,,
686,1,1,4,17031,1,,
687,2,2,9,17043,2,,
688,2,3,10,17031,1,,
689,1,1,4,17031,1,,
690,3,2,2.5,17031,1,,
691,2,3,27,17043,2,,
692,2,5,22.5,17043,2,,
693,1,1,0,17031,1,,
694,1,1,0,17043,2,,
695,1,1,9,17031,1,,
696,4,2,4,17089,4,,
697,4,5,21,17043,2,,
698,3,4,13.5,17031,1,,
699,2,3,7,17111,7,,
700,1,2,12,17089,4,,
701,2,2,8,17031,1,,
702,2,4,21.5,17043,2,,
703,2,2,5.5,17089,4,,
704,1,4,9,17031,1,,
705,1,1,3,17043,2,,
706,1,2,12,17031,1,,
707,1,5,18.5,17031,1,,
708,2,2,2,17097,6,,
709,1,1,3,17097,6,,
710,1,3,5,17197,8,,
711,1,1,2,17031,1,,
712,1,3,15,17031,1,,
713,1,1,5,17089,4,,
714,2,2,5.5,17089,4,,
715,2,3,7,17031,1,,
716,4,3,6,17097,6,,
717,2,4,20,17031,1,,
718,1,1,1.5,17043,2,,
719,0,1,4,17031,1,,
720,2,2,5.5,17043,2,,
721,1,5,12,17031,1,,
722,2,4,12,17031,1,,
723,1,2,13.5,17031,1,,
724,1,1,7.5,17031,1,,
725,1,1,8,17031,1,,
726,1,1,3.5,17043,2,,
727,2,3,6,17031,1,,
728,1,1,4,17043,2,,
729,1,1,6,17111,7,,
730,3,3,12.5,17043,2,,
731,1,2,2,17031,1,,
732,0,1,4.5,17031,1,,
733,2,2,7,17031,1,,
734,1,1,0,17111,7,,
735,1,3,8,17031,1,,
736,2,1,5,17031,1,,
737,1,1,5.5,17031,1,,
738,3,5,30,17097,6,,
739,1,1,2,17111,7,,
740,3,4,25,17031,1,,
741,1,1,5,17031,1,,
742,1,1,8.5,17043,2,,
743,1,2,7,17031,1,,
744,2,4,12,17197,8,,
745,1,1,4,17031,1,,
746,1,2,2.5,17031,1,,
747,1,2,0,17031,1,,
748,1,2,6,17031,1,,
749,2,2,8.5,17031,1,,
750,1,2,1.5,17031,1,,
751,2,2,9.5,17111,7,,
752,2,2,2,17031,1,,
753,1,1,6,17111,7,,
754,1,2,12,17031,1,,
755,1,1,0,17111,7,,
756,1,2,9.5,17031,1,,
757,1,1,5,17031,1,,
758,1,1,3.5,17031,1,,
759,3,1,7.5,17031,1,,
760,1,1,5.5,17043,2,,
761,2,2,6,17031,1,,
762,1,1,2.5,17043,2,,
763,2,2,4.5,17089,4,,
764,3,4,11,17031,1,,
765,1,1,3,17097,6,,
766,1,1,4,17097,6,,
767,2,4,7.5,17031,1,,
768,3,3,23,17043,2,,
769,2,4,7,17031,1,,
770,1,1,2,17031,1,,
771,4,2,7,17043,2,,
772,3,2,12,17043,2,,
773,6,3,12.5,17031,1,,
774,0,1,3,17031,1,,
775,1,2,0,17031,1,,
776,3,2,3.5,17043,2,,
777,1,1,6.5,17031,1,,
778,2,2,12,17031,1,,
779,1,2,6.5,17031,1,,
780,1,2,5,17031,1,,
781,2,1,6,17031,1,,
782,1,1,4,17031,1,,
783,0,1,6,17031,1,,
784,2,3,8,17197,8,,
785,1,2,8,17031,1,,
786,3,2,5,17031,1,,
787,2,2,9.5,17031,1,,
788,2,2,12,17031,1,,
789,2,2,5,17031,1,,
790,2,1,3,17031,1,,
791,1,3,26,17031,1,,
792,1,1,9,17031,1,,
793,1,1,7,17031,1,,
794,3,4,12.5,17031,1,,
795,2,2,4,17031,1,,
796,1,1,7,17031,1,,
797,1,1,5,17031,1,,
798,2,2,7,17031,1,,
799,3,2,6.5,17031,1,,
800,1,1,4.5,17043,2,,
801,3,3,12.5,17111,7,,
802,2,2,10,17111,7,,
803,3,3,13,17097,6,,
804,0,1,2,17111,7,,
805,2,2,3,17031,1,,
806,2,2,4,17031,1,,
807,2,3,22,17089,4,,
808,2,2,15,17043,2,,
809,2,2,6,17097,6,,
810,2,3,14,17031,1,,
811,1,3,2,17031,1,,
812,3,1,3,17031,1,,
813,2,3,2,17031,1,,
814,5,5,33,17043,2,,
815,1,1,8,17031,1,,
816,2,3,12,17031,1,,
817,2,2,6.5,17031,1,,
818,4,3,15.5,17111,7,,
819,2,4,14,17043,2,,
820,2,2,14.5,17031,1,,
821,1,2,6,17031,1,,
822,3,2,7,17197,8,,
823,2,2,12.5,17031,1,,
824,1,3,9,17031,1,,
825,2,3,8,17031,1,,
826,2,1,6,17043,2,,
827,3,4,8,17043,2,,
828,2,2,2.5,17197,8,,
829,2,6,29,17111,7,,
830,2,2,6,17031,1,,
831,0,1,2,17031,1,,
832,2,2,10,17097,6,,
833,4,3,8,17197,8,,
834,3,2,6.5,17111,7,,
835,2,3,9,17097,6,,
836,1,5,16,17063,3,,
837,2,2,9.5,17043,2,,
838,1,1,0,17097,6,,
839,1,2,4,17031,1,,
840,3,3,7,17043,2,,
841,0,1,2,17031,1,,
842,0,1,2,17089,4,,
843,1,2,11,17031,1,,
844,2,1,8,17043,2,,
845,3,4,36.5,17031,1,,
846,2,2,10.5,17111,7,,
847,0,1,1,17031,1,,
848,2,3,14,17043,2,,
849,0,1,3,17031,1,,
850,2,4,45,17031,1,,
851,3,3,11.5,17031,1,,
852,1,1,3,17031,1,,
853,1,1,5,17031,1,,
854,2,5,13,17031,1,,
855,2,3,11,17031,1,,
856,2,3,13.5,17031,1,,
857,1,1,3,17043,2,,
858,1,1,9,17097,6,,
859,5,3,9,17097,6,,
860,1,1,6,17043,2,,
861,2,2,7,17031,1,,
862,2,2,11,17043,2,,
863,1,1,2,17031,1,,
864,2,2,6,17043,2,,
865,0,1,0,17031,1,,
866,1,1,5.5,17089,4,,
867,1,2,2,17197,8,,
868,1,2,2,17031,1,,
869,1,3,10,17031,1,,
870,1,2,16.5,17043,2,,
871,3,3,16,17031,1,,
872,3,3,14,17031,1,,
873,3,4,22,17063,3,,
874,1,5,12,17031,1,,
875,1,1,5,17043,2,,
876,2,2,6,17031,1,,
877,3,3,20,17111,7,,
878,2,2,0,17097,6,,
879,0,1,0,17031,1,,
880,1,1,8,17111,7,,
881,3,5,18,17031,1,,
882,3,2,3,17031,1,,
883,1,1,4,17031,1,,
884,1,1,3,17043,2,,
885,2,3,9,17031,1,,
886,0,5,9.5,17031,1,,
887,2,4,13,17031,1,,
888,1,2,0,17031,1,,
889,0,2,2,17031,1,,
890,2,2,21,17031,1,,
891,4,4,14.5,17197,8,,
892,1,2,7.5,17031,1,,
893,1,1,3.5,17031,1,,
894,1,2,4,17043,2,,
895,1,1,14,17031,1,,
896,2,2,5,17097,6,,
897,1,1,3,17031,1,,
898,2,2,9,17031,1,,
899,2,3,15,17031,1,,
